Laseregg_1c5d 24 hour raw data

Sent to m.hieu.b@gmail.com
Origins Technology, 2017-07-03 11:13:51
Time span: 2017-07-02 18:13:49 to 2017-07-03 18:13:49

Time Point,Pm 2.5,Pm 10
2017-07-03 18:09:27,22,22
2017-07-03 18:04:27,22,23
2017-07-03 17:59:27,25,26
2017-07-03 17:54:27,14,15
2017-07-03 17:49:27,16,18
2017-07-03 17:44:28,17,18
2017-07-03 17:39:27,20,22
2017-07-03 17:34:27,21,23
2017-07-03 17:29:27,19,19
2017-07-03 17:24:28,19,20
2017-07-03 17:19:26,16,16
2017-07-03 17:14:27,23,25
2017-07-03 17:09:28,21,22
2017-07-03 17:04:28,19,19
2017-07-03 16:59:27,18,19
2017-07-03 16:54:27,17,17
2017-07-03 16:49:27,16,17
2017-07-03 16:44:28,14,15
2017-07-03 16:39:28,22,22
2017-07-03 16:34:26,22,23
2017-07-03 16:29:28,20,20
2017-07-03 16:24:28,11,10
2017-07-03 16:19:27,20,20
2017-07-03 16:14:28,12,12
2017-07-03 16:09:28,16,16
2017-07-03 16:04:28,12,12
2017-07-03 15:59:28,27,27
2017-07-03 15:54:28,20,21
2017-07-03 15:49:28,15,16
2017-07-03 15:44:28,18,19
2017-07-03 15:39:28,17,17
2017-07-03 15:34:28,14,16
2017-07-03 15:29:28,15,17
2017-07-03 15:24:28,16,16
2017-07-03 15:19:27,18,19
2017-07-03 15:14:34,14,14
2017-07-03 15:09:28,10,9
2017-07-03 15:04:28,12,13
2017-07-03 14:59:28,13,16
2017-07-03 14:54:30,13,13
2017-07-03 14:49:28,13,14
2017-07-03 14:44:28,11,10
2017-07-03 14:39:28,12,12
2017-07-03 14:34:27,12,13
2017-07-03 14:29:28,19,19
2017-07-03 14:24:28,13,13
2017-07-03 14:19:33,12,12
2017-07-03 14:14:28,11,10
2017-07-03 14:09:28,20,22
2017-07-03 14:04:28,11,11
2017-07-03 13:59:28,10,9
2017-07-03 13:54:28,15,16
2017-07-03 13:49:28,10,9
2017-07-03 13:44:29,12,12
2017-07-03 13:39:28,13,13
2017-07-03 13:34:32,18,18
2017-07-03 13:29:28,14,15
2017-07-03 13:24:28,15,16
2017-07-03 13:19:27,12,12
2017-07-03 13:14:29,12,12
2017-07-03 13:09:28,14,16
2017-07-03 13:04:28,14,15
2017-07-03 12:59:28,15,15
2017-07-03 12:54:28,16,17
2017-07-03 12:49:29,14,14
2017-07-03 12:44:29,17,17
2017-07-03 12:39:29,15,15
2017-07-03 12:34:27,15,15
2017-07-03 12:29:29,14,15
2017-07-03 12:24:29,20,21
2017-07-03 12:19:27,16,16
2017-07-03 12:14:29,14,14
2017-07-03 12:09:29,14,14
2017-07-03 12:04:29,14,14
2017-07-03 11:59:29,16,16
2017-07-03 11:54:29,17,18
2017-07-03 11:49:29,20,20
2017-07-03 11:44:29,20,21
2017-07-03 11:39:29,23,23
2017-07-03 11:34:29,25,26
2017-07-03 11:29:29,18,18
2017-07-03 11:24:29,30,32
2017-07-03 11:19:28,17,18
2017-07-03 11:14:29,20,20
2017-07-03 11:09:29,21,23
2017-07-03 11:04:31,20,21
2017-07-03 10:59:29,17,19
2017-07-03 10:54:29,21,22
2017-07-03 10:49:29,27,27
2017-07-03 10:44:29,25,28
2017-07-03 10:39:29,32,37
2017-07-03 10:34:28,31,31
2017-07-03 10:29:29,28,29
2017-07-03 10:24:28,33,35
2017-07-03 10:19:28,36,36
2017-07-03 10:14:29,33,35
2017-07-03 10:09:29,46,47
2017-07-03 10:04:29,25,25
2017-07-03 09:59:29,33,35
2017-07-03 09:54:29,31,31
2017-07-03 09:49:30,26,27
2017-07-03 09:44:29,33,34
2017-07-03 09:39:29,23,24
2017-07-03 09:34:29,30,30
2017-07-03 09:29:29,18,19
2017-07-03 09:24:30,23,23
2017-07-03 09:19:28,24,26
2017-07-03 09:14:30,25,27
2017-07-03 09:09:29,21,24
2017-07-03 09:04:29,20,21
2017-07-03 08:59:29,21,22
2017-07-03 08:54:30,28,29
2017-07-03 08:49:30,29,29
2017-07-03 08:44:30,24,24
2017-07-03 08:39:30,21,23
2017-07-03 08:34:28,22,22
2017-07-03 08:29:30,24,24
2017-07-03 08:24:30,23,24
2017-07-03 08:19:29,26,27
2017-07-03 08:14:30,21,22
2017-07-03 08:09:30,23,26
2017-07-03 08:04:30,19,20
2017-07-03 07:59:30,21,22
2017-07-03 07:54:30,20,21
2017-07-03 07:49:30,20,21
2017-07-03 07:44:30,23,25
2017-07-03 07:39:30,22,22
2017-07-03 07:34:30,25,27
2017-07-03 07:29:30,21,21
2017-07-03 07:24:30,25,26
2017-07-03 07:19:29,18,19
2017-07-03 07:14:30,18,19
2017-07-03 07:09:30,19,19
2017-07-03 07:04:30,22,23
2017-07-03 06:59:30,24,25
2017-07-03 06:54:30,20,21
2017-07-03 06:49:30,21,22
2017-07-03 06:44:30,26,28
2017-07-03 06:39:30,22,27
2017-07-03 06:34:29,22,25
2017-07-03 06:29:30,17,18
2017-07-03 06:24:30,18,20
2017-07-03 06:19:29,18,20
2017-07-03 06:14:30,20,20
2017-07-03 06:09:30,19,19
2017-07-03 06:04:30,19,21
2017-07-03 05:59:30,19,21
2017-07-03 05:54:30,22,23
2017-07-03 05:49:30,20,21
2017-07-03 05:44:30,20,22
2017-07-03 05:39:30,20,20
2017-07-03 05:34:30,21,22
2017-07-03 05:29:30,20,22
2017-07-03 05:24:30,21,22
2017-07-03 05:19:29,18,20
2017-07-03 05:14:30,18,18
2017-07-03 05:09:30,17,18
2017-07-03 05:04:30,15,16
2017-07-03 04:59:30,15,16
2017-07-03 04:54:31,15,16
2017-07-03 04:49:30,18,20
2017-07-03 04:44:30,18,20
2017-07-03 04:39:30,20,22
2017-07-03 04:34:29,17,19
2017-07-03 04:29:30,13,14
2017-07-03 04:24:31,15,16
2017-07-03 04:19:29,12,12
2017-07-03 04:14:30,13,14
2017-07-03 04:09:31,13,13
2017-07-03 04:04:31,11,11
2017-07-03 03:59:31,10,10
2017-07-03 03:54:31,10,9
2017-07-03 03:49:31,9,8
2017-07-03 03:44:31,9,8
2017-07-03 03:39:31,9,9
2017-07-03 03:34:31,8,8
2017-07-03 03:29:31,7,8
2017-07-03 03:24:31,9,8
2017-07-03 03:19:30,8,9
2017-07-03 03:14:31,9,9
2017-07-03 03:09:31,10,10
2017-07-03 03:04:31,8,7
2017-07-03 02:59:31,8,7
2017-07-03 02:54:31,8,7
2017-07-03 02:49:31,9,9
2017-07-03 02:44:31,9,8
2017-07-03 02:39:31,9,10
2017-07-03 02:34:30,9,9
2017-07-03 02:29:31,10,10
2017-07-03 02:24:31,11,11
2017-07-03 02:19:30,11,10
2017-07-03 02:14:31,12,13
2017-07-03 02:09:31,10,9
2017-07-03 02:04:31,9,8
2017-07-03 01:59:31,12,12
2017-07-03 01:54:31,12,11
2017-07-03 01:49:32,12,12
2017-07-03 01:44:31,17,19
2017-07-03 01:39:31,15,15
2017-07-03 01:34:31,16,17
2017-07-03 01:29:31,14,15
2017-07-03 01:24:32,12,13
2017-07-03 01:19:30,12,13
2017-07-03 01:14:31,16,16
2017-07-03 01:04:31,21,22
2017-07-03 00:59:31,15,15
2017-07-03 00:54:31,15,16
2017-07-03 00:49:32,14,15
2017-07-03 00:44:32,16,17
2017-07-03 00:39:32,18,19
2017-07-03 00:34:30,14,15
2017-07-03 00:29:32,16,17
2017-07-03 00:24:32,16,16
2017-07-03 00:19:30,15,15
2017-07-03 00:14:32,18,21
2017-07-03 00:09:32,19,20
2017-07-03 00:04:32,26,28
2017-07-02 23:59:32,50,53
2017-07-02 23:54:32,28,28
2017-07-02 23:49:32,31,33
2017-07-02 23:44:32,41,43
2017-07-02 23:39:32,22,22
2017-07-02 23:34:32,16,18
2017-07-02 23:29:32,18,19
2017-07-02 23:24:32,17,17
2017-07-02 23:19:31,23,23
2017-07-02 23:14:32,17,18
2017-07-02 23:09:32,18,20
2017-07-02 23:04:32,24,25
2017-07-02 22:59:32,23,23
2017-07-02 22:54:32,25,28
2017-07-02 22:49:35,21,23
2017-07-02 22:44:35,19,20
2017-07-02 22:39:32,22,24
2017-07-02 22:34:37,30,31
2017-07-02 22:29:32,48,52
2017-07-02 22:24:32,45,47
2017-07-02 22:19:31,43,44
2017-07-02 22:14:32,42,49
2017-07-02 22:09:32,43,45
2017-07-02 22:04:32,41,44
2017-07-02 21:59:32,45,47
2017-07-02 21:54:32,47,49
2017-07-02 21:49:32,51,53
2017-07-02 21:44:32,51,52
2017-07-02 21:39:32,52,52
2017-07-02 21:34:33,60,63
2017-07-02 21:29:32,65,69
2017-07-02 21:24:32,68,69
2017-07-02 21:19:31,56,59
2017-07-02 21:14:35,60,62
2017-07-02 21:09:32,53,55
2017-07-02 21:04:32,52,56
2017-07-02 20:59:35,42,45
2017-07-02 20:54:32,45,46
2017-07-02 20:49:32,50,52
2017-07-02 20:44:32,49,52
2017-07-02 20:39:32,47,48
2017-07-02 20:34:31,65,70
2017-07-02 20:29:33,53,54
2017-07-02 20:24:32,55,59
2017-07-02 20:19:31,63,68
2017-07-02 20:14:32,52,52
2017-07-02 20:09:33,57,63
2017-07-02 20:04:33,51,53
2017-07-02 19:59:33,59,61
2017-07-02 19:54:33,39,40
2017-07-02 19:49:33,41,44
2017-07-02 19:44:33,33,34
2017-07-02 19:39:33,35,38
2017-07-02 19:34:33,27,27
2017-07-02 19:29:33,37,38
2017-07-02 19:24:33,31,34
2017-07-02 19:19:32,35,35
2017-07-02 19:14:33,30,33
2017-07-02 19:09:33,28,28
2017-07-02 19:04:33,31,33
2017-07-02 18:59:33,31,34
2017-07-02 18:54:35,35,37
2017-07-02 18:49:33,26,27
2017-07-02 18:44:33,27,28
2017-07-02 18:39:33,23,26
2017-07-02 18:34:32,27,27
2017-07-02 18:29:33,20,21
2017-07-02 18:24:33,21,23
2017-07-02 18:19:32,13,14
2017-07-02 18:14:33,16,16
