Laseregg_1c5d 7 day hourly averages

Sent to m.hieu.b@gmail.com
Origins Technology, 2017-06-15 03:21:49
Time span: 2017-06-08 10:00 to 2017-06-15 10:00

Reporting Time,Pm 2.5,Pm 10
2017-06-15 10:0,33,35
2017-06-15 09:0,40,42
2017-06-15 08:0,43,45
2017-06-15 07:0,22,23
2017-06-15 06:0,28,30
2017-06-15 05:0,25,26
2017-06-15 04:0,28,29
2017-06-15 03:0,32,34
2017-06-15 02:0,36,38
2017-06-15 01:0,36,38
2017-06-15 00:0,38,40
2017-06-14 23:0,37,40
2017-06-14 22:0,39,40
2017-06-14 21:0,35,37
2017-06-14 20:0,40,42
2017-06-14 19:0,25,27
2017-06-14 18:0,23,24
2017-06-14 17:0,15,15
2017-06-14 16:0,20,21
2017-06-14 15:0,19,20
2017-06-14 14:0,26,27
2017-06-14 13:0,38,41
2017-06-14 12:0,-,-
2017-06-14 11:0,-,-
2017-06-14 10:0,-,-
2017-06-14 09:0,-,-
2017-06-14 08:0,-,-
2017-06-14 07:0,-,-
2017-06-14 06:0,-,-
2017-06-14 05:0,-,-
2017-06-14 04:0,-,-
2017-06-14 03:0,-,-
2017-06-14 02:0,-,-
2017-06-14 01:0,-,-
2017-06-14 00:0,-,-
2017-06-13 23:0,-,-
2017-06-13 22:0,-,-
2017-06-13 21:0,-,-
2017-06-13 20:0,-,-
2017-06-13 19:0,-,-
2017-06-13 18:0,-,-
2017-06-13 17:0,-,-
2017-06-13 16:0,0,0
2017-06-13 15:0,-,-
2017-06-13 14:0,-,-
2017-06-13 13:0,-,-
2017-06-13 12:0,-,-
2017-06-13 11:0,-,-
2017-06-13 10:0,-,-
2017-06-13 09:0,-,-
2017-06-13 08:0,-,-
2017-06-13 07:0,-,-
2017-06-13 06:0,-,-
2017-06-13 05:0,-,-
2017-06-13 04:0,-,-
2017-06-13 03:0,-,-
2017-06-13 02:0,-,-
2017-06-13 01:0,-,-
2017-06-13 00:0,-,-
2017-06-12 23:0,-,-
2017-06-12 22:0,-,-
2017-06-12 21:0,-,-
2017-06-12 20:0,-,-
2017-06-12 19:0,-,-
2017-06-12 18:0,-,-
2017-06-12 17:0,-,-
2017-06-12 16:0,-,-
2017-06-12 15:0,-,-
2017-06-12 14:0,-,-
2017-06-12 13:0,-,-
2017-06-12 12:0,-,-
2017-06-12 11:0,-,-
2017-06-12 10:0,-,-
2017-06-12 09:0,-,-
2017-06-12 08:0,-,-
2017-06-12 07:0,-,-
2017-06-12 06:0,-,-
2017-06-12 05:0,-,-
2017-06-12 04:0,-,-
2017-06-12 03:0,-,-
2017-06-12 02:0,-,-
2017-06-12 01:0,-,-
2017-06-12 00:0,-,-
2017-06-11 23:0,-,-
2017-06-11 22:0,-,-
2017-06-11 21:0,-,-
2017-06-11 20:0,-,-
2017-06-11 19:0,-,-
2017-06-11 18:0,-,-
2017-06-11 17:0,-,-
2017-06-11 16:0,-,-
2017-06-11 15:0,-,-
2017-06-11 14:0,-,-
2017-06-11 13:0,-,-
2017-06-11 12:0,-,-
2017-06-11 11:0,-,-
2017-06-11 10:0,-,-
2017-06-11 09:0,-,-
2017-06-11 08:0,-,-
2017-06-11 07:0,-,-
2017-06-11 06:0,-,-
2017-06-11 05:0,-,-
2017-06-11 04:0,-,-
2017-06-11 03:0,-,-
2017-06-11 02:0,-,-
2017-06-11 01:0,-,-
2017-06-11 00:0,-,-
2017-06-10 23:0,-,-
2017-06-10 22:0,-,-
2017-06-10 21:0,-,-
2017-06-10 20:0,-,-
2017-06-10 19:0,-,-
2017-06-10 18:0,-,-
2017-06-10 17:0,-,-
2017-06-10 16:0,-,-
2017-06-10 15:0,-,-
2017-06-10 14:0,-,-
2017-06-10 13:0,-,-
2017-06-10 12:0,-,-
