Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Ho Chi Minh City,PM2.5 - Principal,2016-06-20 07:00 AM,2016,06,20,07,88,2,29.9,39.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-20 08:00 AM,2016,06,20,08,89,2,30.2,44.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-20 09:00 AM,2016,06,20,09,89,2,30.3,52.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-20 10:00 AM,2016,06,20,10,89,2,30.2,60.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-20 11:00 AM,2016,06,20,11,90,2,30.8,46.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-20 12:00 PM,2016,06,20,12,91,2,31.2,38.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-20 01:00 PM,2016,06,20,13,92,2,31.4,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-20 02:00 PM,2016,06,20,14,91,2,31.0,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-20 03:00 PM,2016,06,20,15,95,2,33.0,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-20 04:00 PM,2016,06,20,16,96,2,33.4,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-20 05:00 PM,2016,06,20,17,95,2,33.2,39.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-20 06:00 PM,2016,06,20,18,96,2,33.5,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-20 07:00 PM,2016,06,20,19,95,2,33.2,18.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-20 08:00 PM,2016,06,20,20,96,2,33.5,19.0,UG/M3,1 Hr,Valid
