date,type,maxpressurem,maxdewptm,maxpressurei,maxdewpti,since1julheatingdegreedaysnormal,heatingdegreedaysnormal,since1sepcoolingdegreedaysnormal,hail,since1julsnowfallm,since1julheatingdegreedays,maxvisi,since1sepheatingdegreedaysnormal,heatingdegreedays,mindewptm,since1sepheatingdegreedays,maxwspdm,since1julsnowfalli,since1sepcoolingdegreedays,snow,meanvism,meandewptm,snowdepthm,meanvisi,fog,snowdepthi,minvism,since1jancoolingdegreedays,minvisi,coolingdegreedaysnormal,gdegreedays,maxwspdi,meanwindspdi,meanpressurei,monthtodateheatingdegreedaysnormal,meanwindspdm,meanpressurem,tornado,mindewpti,mintempi,meandewpti,rain,mintempm,minhumidity,precipsource,minwspdi,meanwdird,meanwdire,minwspdm,monthtodatesnowfalli,monthtodatecoolingdegreedaysnormal,monthtodatesnowfallm,maxhumidity,coolingdegreedays,maxtempm,minpressurei,monthtodatecoolingdegreedays,maxtempi,minpressurem,humidity,precipi,snowfalli,since1jancoolingdegreedaysnormal,precipm,snowfallm,thunder,monthtodateheatingdegreedays,meantempi,maxvism,meantempm,
20170101,daily,1012,26,29.89,79,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,19,NaN,17,NaN,NaN,0,9.5,22,NaN,5.9,0,NaN,5.0,NaN,3.1,NaN,33,10,5,29.83,NaN,8,1010.10,0,66,73,72,1,23,41,3Or6HourObs,1,35,NE,2,NaN,NaN,NaN,100,18,34,29.74,NaN,93,1007,74,0.00,NaN,NaN,0.0,NaN,0,NaN,83,10.0,28,
20170102,daily,1011,23,29.86,73,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,20,NaN,22,NaN,NaN,0,10.0,21,NaN,6.2,0,NaN,10.0,NaN,6.2,NaN,33,14,6,29.82,NaN,9,1009.72,0,68,73,70,0,23,46,3Or6HourObs,2,50,NE,4,NaN,NaN,NaN,89,18,34,29.77,NaN,93,1008,68,0.00,NaN,NaN,0.0,NaN,0,NaN,83,10.0,28,
20170103,daily,1011,23,29.86,73,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,19,NaN,15,NaN,NaN,0,10.0,22,NaN,6.2,0,NaN,10.0,NaN,6.2,NaN,34,9,4,29.81,NaN,6,1009.48,0,66,75,71,0,24,41,3Or6HourObs,1,58,ENE,2,NaN,NaN,NaN,89,19,34,29.74,NaN,93,1007,69,0.00,NaN,NaN,0.0,NaN,0,NaN,84,10.0,29,
20170104,daily,1011,24,29.86,75,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,19,NaN,13,NaN,NaN,0,9.2,22,NaN,5.7,0,NaN,6.0,NaN,3.7,NaN,33,8,4,29.79,NaN,6,1008.83,0,66,75,71,0,24,46,3Or6HourObs,1,39,NE,2,NaN,NaN,NaN,94,18,33,29.74,NaN,91,1007,70,0.00,NaN,NaN,0.0,NaN,0,NaN,83,10.0,28,
20170105,daily,1010,25,29.83,77,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,20,NaN,15,NaN,NaN,0,9.3,22,NaN,5.8,0,NaN,8.0,NaN,5.0,NaN,34,9,4,29.78,NaN,6,1008.26,0,68,77,72,0,25,49,3Or6HourObs,1,98,East,2,NaN,NaN,NaN,100,19,33,29.74,NaN,91,1007,71,0.00,NaN,NaN,0.0,NaN,0,NaN,84,10.0,29,
20170106,daily,1009,25,29.80,77,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,19,NaN,18,NaN,NaN,0,9.0,22,NaN,5.6,0,NaN,6.0,NaN,3.7,NaN,34,12,4,29.75,NaN,7,1007.27,0,66,77,72,1,25,46,3Or6HourObs,0,72,ENE,0,NaN,NaN,NaN,94,19,33,29.68,NaN,91,1005,70,0.00,NaN,NaN,0.0,NaN,0,NaN,84,10.0,29,
20170107,daily,1009,26,29.80,79,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,21,NaN,22,NaN,NaN,0,8.2,23,NaN,5.1,0,NaN,5.0,NaN,3.1,NaN,32,14,5,29.74,NaN,8,1006.91,0,70,77,73,1,25,55,3Or6HourObs,1,94,East,2,NaN,NaN,NaN,100,17,31,29.68,NaN,87,1005,75,0.00,NaN,NaN,0.0,NaN,0,NaN,82,10.0,28,
20170108,daily,1009,22,29.80,72,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,19,NaN,22,NaN,NaN,0,10.0,21,NaN,6.2,0,NaN,10.0,NaN,6.2,NaN,34,14,8,29.74,NaN,12,1007.16,0,66,78,69,0,26,46,3Or6HourObs,5,107,ESE,7,NaN,NaN,NaN,78,20,33,29.68,NaN,91,1005,61,0.00,NaN,NaN,0.0,NaN,0,NaN,84,10.0,30,
20170109,daily,1010,24,29.83,75,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,17,NaN,17,NaN,NaN,0,10.0,21,NaN,6.2,0,NaN,10.0,NaN,6.2,NaN,32,10,4,29.76,NaN,7,1007.82,0,63,73,70,0,23,43,3Or6HourObs,0,110,ESE,0,NaN,NaN,NaN,94,17,33,29.68,NaN,91,1005,67,0.00,NaN,NaN,0.0,NaN,0,NaN,82,10.0,28,
20170110,daily,1010,24,29.83,75,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,21,NaN,15,NaN,NaN,0,9.4,22,NaN,5.8,0,NaN,7.0,NaN,4.3,NaN,32,9,4,29.78,NaN,7,1008.40,0,70,75,72,1,24,55,3Or6HourObs,1,128,SE,2,NaN,NaN,NaN,94,17,32,29.71,NaN,89,1006,73,0.00,NaN,NaN,0.0,NaN,0,NaN,82,10.0,28,
20170111,daily,1011,24,29.86,75,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,21,NaN,15,NaN,NaN,0,8.6,22,NaN,5.4,0,NaN,5.0,NaN,3.1,NaN,32,9,3,29.79,NaN,6,1008.57,0,70,75,72,1,24,52,3Or6HourObs,1,116,ESE,2,NaN,NaN,NaN,94,17,32,29.71,NaN,89,1006,73,0.00,NaN,NaN,0.0,NaN,0,NaN,82,10.0,28,
20170112,daily,1010,25,29.83,77,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,21,NaN,15,NaN,NaN,0,9.8,23,NaN,6.1,0,NaN,6.0,NaN,3.7,NaN,33,9,5,29.75,NaN,8,1007.40,0,70,75,74,0,24,49,3Or6HourObs,2,281,West,4,NaN,NaN,NaN,100,18,33,29.68,NaN,91,1005,76,0.00,NaN,NaN,0.0,NaN,0,NaN,83,10.0,28,
20170113,daily,1009,27,29.80,81,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,20,NaN,15,NaN,NaN,0,9.2,24,NaN,5.7,0,NaN,4.0,NaN,2.5,NaN,34,9,4,29.74,NaN,7,1006.93,0,68,75,74,0,24,46,3Or6HourObs,1,281,West,2,NaN,NaN,NaN,100,19,34,29.65,NaN,93,1004,75,0.00,NaN,NaN,0.0,NaN,0,NaN,84,10.0,29,
20170114,daily,1010,27,29.83,81,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,21,NaN,17,NaN,NaN,0,8.5,25,NaN,5.3,0,NaN,5.0,NaN,3.1,NaN,34,10,5,29.76,NaN,7,1007.54,0,70,78,76,1,26,52,3Or6HourObs,0,70,ENE,0,NaN,NaN,NaN,100,18,32,29.71,NaN,89,1006,85,0.00,NaN,NaN,0.0,NaN,1,NaN,84,10.0,29,
20170115,daily,1011,26,29.86,79,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,24,NaN,11,NaN,NaN,0,7.6,25,NaN,4.7,0,NaN,2.0,NaN,1.2,NaN,28,7,3,29.82,NaN,5,1009.63,0,75,77,77,1,25,84,3Or6HourObs,1,354,North,2,NaN,NaN,NaN,100,14,27,29.77,NaN,80,1008,97,0.00,NaN,NaN,0.0,NaN,0,NaN,78,10.0,26,
20170116,daily,1011,25,29.86,77,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,21,NaN,24,NaN,NaN,0,9.2,23,NaN,5.7,0,NaN,6.0,NaN,3.7,NaN,32,15,5,29.81,NaN,8,1009.44,0,70,75,73,1,24,55,3Or6HourObs,1,90,East,2,NaN,NaN,NaN,100,17,32,29.74,NaN,89,1007,79,0.00,NaN,NaN,0.0,NaN,0,NaN,82,10.0,28,
20170117,daily,1012,25,29.89,77,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,18,NaN,32,NaN,NaN,0,8.3,21,NaN,5.2,0,NaN,2.5,NaN,1.6,NaN,32,20,4,29.84,NaN,7,1010.48,0,64,73,71,0,23,41,3Or6HourObs,0,88,East,0,NaN,NaN,NaN,100,17,33,29.77,NaN,91,1008,72,0.00,NaN,NaN,0.0,NaN,0,NaN,82,10.0,28,
20170118,daily,1014,23,29.95,73,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,15,NaN,22,NaN,NaN,0,10.0,20,NaN,6.2,0,NaN,10.0,NaN,6.2,NaN,34,14,4,29.89,NaN,6,1012.04,0,59,75,68,0,24,34,3Or6HourObs,0,52,NE,0,NaN,NaN,NaN,89,19,34,29.83,NaN,93,1010,64,0.00,NaN,NaN,0.0,NaN,0,NaN,84,10.0,29,
20170119,daily,1013,25,29.92,77,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,19,NaN,15,NaN,NaN,0,9.0,22,NaN,5.5,0,NaN,4.0,NaN,2.5,NaN,33,9,3,29.87,NaN,5,1011.33,0,66,77,72,0,25,46,3Or6HourObs,0,98,East,0,NaN,NaN,NaN,100,18,32,29.80,NaN,89,1009,70,0.00,NaN,NaN,0.0,NaN,0,NaN,83,10.0,28,
20170120,daily,1013,26,29.92,79,NaN,NaN,NaN,0,NaN,NaN,6.2,NaN,0,20,NaN,13,NaN,NaN,0,9.7,23,NaN,6.0,0,NaN,8.0,NaN,5.0,NaN,33,8,4,29.86,NaN,6,1011.09,0,68,77,73,1,25,49,3Or6HourObs,1,359,North,2,NaN,NaN,NaN,100,18,32,29.80,NaN,89,1009,77,0.00,NaN,NaN,0.0,NaN,1,NaN,83,10.0,28,
