,date,coolingdegreedays,coolingdegreedaysnormal,fog,gdegreedays,hail,heatingdegreedays,heatingdegreedaysnormal,humidity,maxdewpti,maxdewptm,maxhumidity,maxpressurei,maxpressurem,maxtempi,maxtempm,maxvisi,maxvism,maxwspdi,maxwspdm,meandewpti,meandewptm,meanpressurei,meanpressurem,meantempi,meantempm,meanvisi,meanvism,meanwdird,meanwdire,meanwindspdi,meanwindspdm,mindewpti,mindewptm,minhumidity,minpressurei,minpressurem,mintempi,mintempm,minvisi,minvism,minwspdi,minwspdm,monthtodatecoolingdegreedays,monthtodatecoolingdegreedaysnormal,monthtodateheatingdegreedays,monthtodateheatingdegreedaysnormal,monthtodatesnowfalli,monthtodatesnowfallm,precipi,precipm,precipsource,rain,since1jancoolingdegreedays,since1jancoolingdegreedaysnormal,since1julheatingdegreedays,since1julheatingdegreedaysnormal,since1julsnowfalli,since1julsnowfallm,since1sepcoolingdegreedays,since1sepcoolingdegreedaysnormal,since1sepheatingdegreedays,since1sepheatingdegreedaysnormal,snow,snowdepthi,snowdepthm,snowfalli,snowfallm,thunder,tornado
0,"{'pretty': '12:00 AM +07 on December 26, 2014', 'year': '2014', 'mon': '12', 'mday': '26', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",20,,0,35,0,0,,67,75,24,94,29.89,1012,93,34,6.2,10.0,14,22,71,22,29.80,1009.10,85,30,6.0,9.7,82,East,4,7,66,19,41,29.74,1007,77,25,4.3,7.0,1,2,,,,,,,0.00,0.0,3Or6HourObs,1,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on December 27, 2014', 'year': '2014', 'mon': '12', 'mday': '27', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",18,,0,33,0,0,,66,73,23,89,29.89,1012,91,33,6.2,10.0,9,15,70,21,29.83,1009.96,83,28,5.8,9.4,64,ENE,3,5,64,18,41,29.77,1008,75,24,3.7,6.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '3:30 AM +07 on December 28, 2014', 'year': '2014', 'mon': '12', 'mday': '28', 'hour': '03', 'min': '30', 'tzname': 'Asia/Ho_Chi_Minh'}",18,,0,33,0,0,,58,72,22,78,29.92,1013,91,33,6.2,10.0,13,20,67,20,29.86,1010.97,83,28,6.2,10.0,41,NE,6,9,64,18,41,29.80,1009,75,24,6.2,10.0,1,2,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM ICT on December 29, 2014', 'year': '2014', 'mon': '12', 'mday': '29', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",16,,0,31,0,0,,61,70,21,78,29.95,1014,89,32,6.2,10.0,10,17,66,19,29.86,1010.98,81,28,6.2,10.0,47,NE,4,6,63,17,40,29.77,1008,73,23,6.2,10.0,1,2,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM ICT on December 30, 2014', 'year': '2014', 'mon': '12', 'mday': '30', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",11,,0,26,0,0,,66,70,21,83,29.92,1013,84,29,6.2,10.0,7,11,64,18,29.86,1011.06,76,24,5.6,9.0,221,SW,4,6,61,16,48,29.80,1009,68,20,4.3,7.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on December 31, 2014', 'year': '2014', 'mon': '12', 'mday': '31', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",14,,0,28,0,0,,66,68,20,88,29.98,1015,86,30,6.2,10.0,10,17,65,18,29.89,1012.06,78,26,4.3,6.9,237,WSW,3,5,63,17,45,29.83,1010,71,22,1.9,3.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM ICT on January 01, 2015', 'year': '2015', 'mon': '01', 'mday': '01', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",15,,0,30,0,0,,59,70,21,83,29.98,1015,87,31,6.2,10.0,12,18,64,18,29.90,1012.44,80,27,5.3,8.5,17,NNE,4,7,57,14,40,29.83,1010,73,23,3.7,6.0,1,2,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 02, 2015', 'year': '2015', 'mon': '01', 'mday': '02', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",12,,0,27,0,0,,57,64,18,69,29.98,1015,86,30,6.2,10.0,8,13,60,16,29.92,1012.88,77,25,6.1,9.8,331,NNW,4,7,55,13,43,29.86,1011,68,20,5.0,8.0,1,2,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 03, 2015', 'year': '2015', 'mon': '01', 'mday': '03', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",17,,0,32,0,0,,63,72,22,83,29.95,1014,91,33,6.2,10.0,8,13,66,19,29.89,1011.85,82,28,5.9,9.4,10,North,4,7,63,17,43,29.80,1009,73,23,5.0,8.0,1,2,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 04, 2015', 'year': '2015', 'mon': '01', 'mday': '04', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",17,,0,32,0,0,,71,72,22,89,29.89,1012,89,32,6.2,10.0,8,13,70,21,29.83,1010.15,82,28,5.1,8.2,246,WSW,3,5,68,20,49,29.77,1008,75,24,3.7,6.0,1,2,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
