date,type,maxpressurem,maxdewptm,maxpressurei,maxdewpti,maxwspdm,mindewptm,maxwspdi,meanwindspdi,meanwindspdm,meandewptm,mindewpti,mintempi,meandewpti,mintempm,minhumidity,meanwdird,meanwdire,maxhumidity,maxtempm,minpressurei,maxtempi,minpressurem,humidity,precipi,precipm,meantempi,meantempm,
20170101,daily,-33856.6,23.7,-999.90,74.7,0.0,23.7,0.0,0.0,0.0,23.7,74.7,32.0,74.7,0.0,-999,NaN,South,-999,0.0,-999.90,32.0,-33856.6,-999,0.00,0.0,32.0,0.0,
20170102,daily,-33856.6,23.7,-999.90,74.7,0.0,23.7,0.0,0.0,0.0,23.7,74.7,32.0,74.7,0.0,-999,NaN,South,-999,0.0,-999.90,32.0,-33856.6,-999,0.00,0.0,32.0,0.0,
20170103,daily,1012.4,24.2,29.90,75.5,0.0,21.1,0.0,0.0,0.0,23.0,70.0,32.0,73.4,0.0,53,NaN,South,81,33.0,29.78,91.4,1008.4,47,0.00,0.0,61.7,16.5,
20170104,daily,1012.1,24.6,29.89,76.2,0.0,20.2,0.0,0.0,0.0,22.7,68.4,75.6,72.8,24.2,56,NaN,South,88,31.6,29.76,88.9,1007.7,74,0.00,0.0,82.2,27.9,
20170105,daily,1010.7,24.3,29.85,75.8,0.0,22.2,0.0,0.0,0.0,23.4,71.9,77.7,74.1,25.4,61,NaN,South,92,31.2,29.77,88.2,1008.0,76,0.00,0.0,82.9,28.3,
20170106,daily,1010.4,23.1,29.84,73.5,0.0,21.4,0.0,0.0,0.0,22.5,70.5,77.5,72.5,25.3,53,NaN,South,87,32.3,29.72,90.1,1006.3,69,0.06,1.5,83.8,28.8,
20170107,daily,1006.7,22.8,29.73,73.0,0.0,22.8,0.0,0.0,0.0,22.8,73.0,86.2,73.0,30.1,65,NaN,South,65,30.1,29.73,86.2,1006.7,65,0.00,0.0,86.2,30.1,
20170108,daily,1006.7,22.8,29.73,73.0,0.0,22.8,0.0,0.0,0.0,22.8,73.0,86.2,73.0,30.1,65,NaN,South,65,30.1,29.73,86.2,1006.7,65,0.00,0.0,86.2,30.1,
20170109,daily,1006.7,22.8,29.73,73.0,0.0,22.8,0.0,0.0,0.0,22.8,73.0,86.2,73.0,30.1,65,NaN,South,65,30.1,29.73,86.2,1006.7,65,0.00,0.0,86.2,30.1,
20170110,daily,1011.1,23.8,29.86,74.8,0.0,22.4,0.0,0.0,0.0,22.9,72.3,78.4,73.2,25.8,59,NaN,South,83,31.9,29.76,89.4,1007.7,70,0.00,0.0,83.9,28.8,
20170111,daily,1011.7,24.4,29.88,76.0,0.0,22.1,0.0,0.0,0.0,23.1,71.8,76.5,73.6,24.7,61,NaN,South,89,32.1,29.75,89.8,1007.3,76,0.00,0.0,83.2,28.4,
